NOME;Id;MARCA;VERTICAL;ESTOQUE;Obs;Unid.Vend
AVR-S670H;8954;DENON;AUDIO PROFISSIONAL;34.0;;Peça
AVR-S770H;8955;DENON;AUDIO PROFISSIONAL;43.0;;Peça
AVR-S970H;8959;DENON;AUDIO PROFISSIONAL;23.0;;Peça
AVR-X1800H;8956;DENON;AUDIO PROFISSIONAL;13.0;;Peça
AVR-X2800H;8960;DENON;AUDIO PROFISSIONAL;8.0;;Peça
AVR-X3800H;8961;DENON;AUDIO PROFISSIONAL;21.0;;Peça
AVR-X4800H;8957;DENON;AUDIO PROFISSIONAL;1.0;;Peça
AVR-X6800H;8962;DENON;AUDIO PROFISSIONAL;1.0;;Peça
DP-29F;8354;DENON;AUDIO PROFISSIONAL;1.0;;Peça
DP-300F;8355;DENON;AUDIO PROFISSIONAL;3.0;;Peça
DP-400 BRANCO;8932;DENON;AUDIO PROFISSIONAL;0.0;;Peça
DP-400 PRETO;8432;DENON;AUDIO PROFISSIONAL;2.0;;Peça
COOLMASTER 32;8825;COOLMASTER;AUTOMAÇÂO;3.0;;Peça
COOLMASTER LT;8826;COOLMASTER;AUTOMAÇÂO;8.0;;Peça
COOLMASTER PRO;nan;COOLMASTER;AUTOMAÇÂO;;;
FLEX BOX CLONER;1426;FLEXCONTROL;AUDIO PROFISSIONAL;149.0;19/08/25 - FALTA 2 PÇ - ASSSISTENCIA ;Peça
AW525 PRETA;8463;PROFICIENT;AUDIO PROFISSIONAL;6.0;13/01/2025 01 PAR PARA COBRIR OS;Par
AW525 BRANCA;8490;PROFICIENT;AUDIO PROFISSIONAL;33.0;13/01/2025 - FALTA 01 PAR.;Par
AW650 PRETA;8482;PROFICIENT;AUDIO PROFISSIONAL;11.0;13/01/2025 - FALTAM 03 PARES;Par
AW650 BRANCA;8491;PROFICIENT;AUDIO PROFISSIONAL;19.0;13/01/2025  ESTOQUE OK ;Par
AW830 PRETA;8483;PROFICIENT;AUDIO PROFISSIONAL;1.0;13/01/2025  ESTOQUE OK;Par
AW830 BRANCA;8492;PROFICIENT;AUDIO PROFISSIONAL;2.0;13/01/2025  FALTA 01 PAR;Par
LR6g;8001;STEALTH;AUDIO PROFISSIONAL;15.0;"26/02/25 - estoque ok

";Par
LR8g;8002;STEALTH;AUDIO PROFISSIONAL;17.0;"26/02/25 - estoque ok
";Par
LR3g;8348;STEALTH;AUDIO PROFISSIONAL;2.0;"26/02/25 - estoque ok
";Par
SLR8g;1403;STEALTH;AUDIO PROFISSIONAL;0.0;"16/05/2017 ESTOQUE SP OK
ESTOQUE SC OK 
";Peça
B22g;8120;STEALTH;AUDIO PROFISSIONAL;0.0;26/02/25 - estoque ok;Par
B30g;8003;STEALTH;AUDIO PROFISSIONAL;1.0;26/02/25 - estoque ok;Par
STINGRAY 6 BRANCA;8424;STEALTH;AUDIO PROFISSIONAL;4.0;26/02/25 - estoque ok;Peça
STINGRAY 8 PRETA;8426;STEALTH;AUDIO PROFISSIONAL;4.0;26/02/25 - estoque ok;Peça
STINGRAY 8 BRANCA;8425;STEALTH;AUDIO PROFISSIONAL;4.0;26/02/25 - estoque ok;Peça
SA2400 MKII;nan;STEALTH;AUDIO PROFISSIONAL;;;
FULLPROTECT FPC1500;1844;ENGEBLU;AUDIO PROFISSIONAL;33.0;;Peça
FULLPROTECT D1000-SRX;1835;ENGEBLU;AUDIO PROFISSIONAL;47.0;;Peça
FULLPROTECT FPC1900;1831;ENGEBLU;AUDIO PROFISSIONAL;37.0;"23/09/20 - ESTOQUE SP - 1 INSTALADO

";Peça
FULLPROTECT FPD1500;1842;ENGEBLU;AUDIO PROFISSIONAL;62.0;;Peça
FULLPROTECT FPD2200;1840;ENGEBLU;AUDIO PROFISSIONAL;5.0;;Peça
FULLPROTECT FP1900- ATX;1839;ENGEBLU;AUDIO PROFISSIONAL;29.0;;Peça
FULLPROTECT FP1900- CX;1841;ENGEBLU;AUDIO PROFISSIONAL;1.0;;Peça
FULLPROTECT FPT1000;1843;ENGEBLU;AUDIO PROFISSIONAL;82.0;03/09/2024  ERRO DE 1 PEÇA;Peça
FULLPROTECT FPT2000;1832;ENGEBLU;AUDIO PROFISSIONAL;73.0;"ESTOQUE SC
01 INSTALADO LEJAZZ
01 CLEBER";Peça
FULLPROTECT FP2000 - ATX;1836;ENGEBLU;AUDIO PROFISSIONAL;28.0;01/09/20 -  ESTOQUE SP 01 INSTALADO;Peça
FULLPROTECT FP 3300-ATX;1845;ENGEBLU;AUDIO PROFISSIONAL;5.0;;Peça
FULLPROTECT FPI 3300;1837;ENGEBLU;AUDIO PROFISSIONAL;4.0;"ESTOQUE SC
01 INSTALADO LEJAZZ";Peça
FULLPROTECT FPA 3300;nan;ENGEBLU;AUDIO PROFISSIONAL;;;
CABLE PROTECT;1834;ENGEBLU;AUDIO PROFISSIONAL;43.0;"ESTOQUE SC
01 CASA PAULO";Peça
283D - EMISSOR DE INFRAVERMELHO;8196;XANTECH;AUDIO PROFISSIONAL;860.0;23/10/24 - matriz - estoque  OK;Peça
ML85K;1556;XANTECH;AUDIO PROFISSIONAL;0.0;;Peça
DL85K;8243;XANTECH;AUDIO PROFISSIONAL;5.0;"ESTOQUE SC
02 sem condição de uso";Peça
SMAUD01;1541;XANTECH;AUDIO PROFISSIONAL;5.0;SMAUD01 SENSOR MODULE-AUDIO XANTECH;Peça
SMVID01;1543;XANTECH;AUDIO PROFISSIONAL;0.0;;Peça
286D - EMISSOR DE IR DUPLO;8195;XANTECH;AUDIO PROFISSIONAL;732.0;ESTOQUE SC 60 SEM CONDIÇÃO DE USO;Peça
D105;8909;ORIGIN;AUDIO PROFISSIONAL;4.0;;Peça
D85;8916;ORIGIN;AUDIO PROFISSIONAL;3.0;;Peça
D83A;8912;ORIGIN;AUDIO PROFISSIONAL;9.0;;Peça
D83DT/SUR;8913;ORIGIN;AUDIO PROFISSIONAL;4.0;;Peça
D83;8947;ORIGIN;AUDIO PROFISSIONAL;6.0;;Peça
D80-8 (8 unidades);8946;ORIGIN;AUDIO PROFISSIONAL;13.0;PACK C/8 UNIDADES - NÃO É VENDIDO SEPARADAMENTE;Kit
D65;8910;ORIGIN;AUDIO PROFISSIONAL;5.0;;Peça
D63;8945;ORIGIN;AUDIO PROFISSIONAL;10.0;;Peça
D60-8 (8 unidades);8944;ORIGIN;AUDIO PROFISSIONAL;0.0;PACK C/8 UNIDADES - NÃO É VENDIDO SEPARADAMENTE;Kit
D83EX;8915;ORIGIN;AUDIO PROFISSIONAL;2.0;;Peça
D83DT/SUR EX;8914;ORIGIN;AUDIO PROFISSIONAL;2.0;;Peça
DBA10EX;8935;ORIGIN;AUDIO PROFISSIONAL;1.0;;Peça
TF37EX;8919;ORIGIN;AUDIO PROFISSIONAL;9.0;;Peça
LCR65;8918;ORIGIN;AUDIO PROFISSIONAL;12.0;;Peça
THTR67;8920;ORIGIN;AUDIO PROFISSIONAL;3.0;;Peça
E60-6 (6 unidades);8948;ORIGIN;AUDIO PROFISSIONAL;3.0;PACK C/6 UNIDADES - NÃO É VENDIDO SEPARADAMENTE;Kit
SUBD8;8923;ORIGIN;AUDIO PROFISSIONAL;2.0;;Peça
SUB V8P;8942;ORIGIN;AUDIO PROFISSIONAL;1.0;;Peça
SUB V10P;8941;ORIGIN;AUDIO PROFISSIONAL;2.0;19/08/25 - 01 PEÇA FOI LEVADA PARA O STA MONICA;Peça
AS41SYS;8943;ORIGIN;AUDIO PROFISSIONAL;31.0;CONJUNTO EXTERNO PARA JARDIM 4X1;Kit
BOC86;8906;B&O;AUDIO PROFISSIONAL;3.0;;Peça
BOC106;8905;B&O;AUDIO PROFISSIONAL;2.0;;Peça
BOPLCR66;8908;B&O;AUDIO PROFISSIONAL;3.0;;Peça
BOHBLRB;8907;B&O;AUDIO PROFISSIONAL;0.0;;Peça
